# Adapted from ../data/utptest_emul.d/vars.txt
0 6900 7283.205 14.808 82.410 34.827
0.501131 8280 9320.449 68.206 144.341 23.043
1.00156 9660 9937.991 94.171 173.667 16.013
1.50267 9660 9904.977 100.659 185.268 1.896
2.00382 9660 9801.715 103.329 188.688 1.524
2.50459 9660 9769.711 100.519 186.699 2.014
3.00552 9660 9676.264 102.266 187.757 1.638
3.50662 9660 9944.514 81.549 172.341 15.005
4.00772 9660 9927.243 101.126 186.186 2.768
4.50825 9660 9913.509 100.545 186.324 1.260
5.00939 9660 9846.932 101.855 187.524 0.957
5.51049 9660 9819.968 100.672 186.554 0.979
6.0114 9660 9723.516 102.695 187.989 0.862
6.51181 9660 9667.621 101.288 186.732 0.823
7.01286 9660 9968.219 83.938 172.457 15.007
7.51398 9660 9909.560 101.426 185.804 1.960
8.01457 9660 9832.198 101.475 186.986 1.188
8.51566 9660 9785.239 101.266 186.828 1.489
9.0168 9660 9748.788 101.627 186.865 1.339
9.51787 9660 9700.780 100.957 186.656 2.004
10.0183 9660 9829.816 86.107 175.989 14.751
10.5194 9660 9926.170 101.228 184.879 4.438
11.0205 9660 9837.191 102.128 187.521 0.488
11.5216 9660 9798.379 101.077 186.472 0.578
12.0227 8280 9641.632 106.265 190.986 3.570
12.5238 9660 9943.436 96.893 180.821 9.122
13.0246 9660 9875.764 101.564 186.494 1.166
13.5254 9660 9834.343 100.645 186.542 1.425
14.0257 9660 9762.542 101.497 187.366 1.254
14.5267 9660 9722.288 101.046 186.589 0.817
15.0269 8280 9644.637 101.922 187.431 0.463
15.5281 9660 9968.287 97.934 181.802 7.772
16.0292 9660 9891.520 102.298 187.188 1.046
16.5303 9660 9843.373 101.503 187.083 0.626
17.0308 9660 9761.910 101.602 187.533 2.006
17.5319 9660 9715.607 101.556 186.596 0.561
18.033 9660 9799.803 87.786 177.399 14.557
18.5342 1380 1380.000 85.437 173.276 14.911
19.0352 5520 6385.567 14.899 116.404 39.668
19.5359 8280 9090.861 60.045 138.086 21.789
20.037 9660 9963.573 75.271 159.168 4.737
20.5381 9660 9909.013 100.920 184.515 3.870
21.0388 9660 9845.318 101.264 186.762 1.775
21.5399 9660 9782.777 101.710 187.076 0.693
22.041 9660 9696.612 101.976 187.471 0.644
22.5417 8280 9650.592 101.071 186.635 1.262
23.0418 9660 9878.627 100.425 184.967 4.705
23.543 9660 9844.755 101.259 186.477 0.650
24.0441 9660 9769.432 102.029 187.352 0.439
24.5451 9660 9728.110 101.141 186.766 0.700
25.0454 8280 9647.429 101.510 187.701 2.349
25.5463 9660 9968.641 99.263 182.860 7.595
26.0466 9660 9752.618 91.339 181.978 20.161
26.5477 9660 9950.620 100.467 184.365 4.373
27.048 9660 9869.027 101.896 187.117 0.996
27.5492 9660 9804.284 101.730 186.879 1.450
